Nama,Singkatan,Jenis,Status,Kabupaten,Provinsi,Akreditasi,Jumlah Prodi,Persentase Kelulusan,Rentang Biaya / Semester
Akademi Bahasa Asing RA Kartini Surakarta,ABARKS,Swasta,Tutup,Kota Surakarta,Prov. Jawa Tengah,Tidak Terakreditasi,3,,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Islam Tunas Bangsa,STKIP Al Islam Tunas Bangsa,Swasta,Aktif,Kota Bandar Lampung,Prov. Lampung,Baik,3,,Rp3.550.000 - 4.150.000
STKIP Yapti Jeneponto,STKIP Yapti Jeneponto,Swasta,Alih Bentuk,Kab. Jeneponto,Prov. Sulawesi Selatan,Tidak Terakreditasi,3,,
Universitas Kurnia Jaya Persada,UKJP,Swasta,Aktif,Kota Palopo,Prov. Sulawesi Selatan,Terakreditasi,13,26.79 %,
Sekolah Tinggi Ilmu Kesehatan Dona Palembang,STIKes Dona Palembang,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Terakreditasi,2,,Rp4.000.000 - 4.500.000
Universitas Bakti Indonesia,UBI,Swasta,Aktif,Kab. Banyuwangi,Prov. Jawa Timur,Baik,20,51.11 %,Rp100 - 8.000.000
Sekolah Tinggi Ilmu Ekonomi Cendekia Bojonegoro,STIE Cendekia Bojonegoro,Swasta,Aktif,Kab. Bojonegoro,Prov. Jawa Timur,Terakreditasi,2,59.38 %,Rp3.600.000 - 4.200.000
STMIK Bumi Gora,STMIK Bumi Gora,Swasta,Alih Bentuk,Kota Mataram,Prov. Nusa Tenggara Barat,Tidak Terakreditasi,5,73.31 %,
Sekolah Tinggi Informatika Komputer Artha Buana,STIKAB,Swasta,Aktif,Kota Kupang,Prov. Nusa Tenggara Timur,Baik,1,48.97 %,
Akademi Pariwisata Bogor BHI,APBB,Swasta,Alih Bentuk,Kota Bogor,Prov. Jawa Barat,Tidak Terakreditasi,1,,
"Universitas Dian Nusantara (Kota Jakarta Barat, D.K.I. Jakarta)",UDN,Swasta,Aktif,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Baik Sekali,11,30.88 %,Rp2.100.000 - 40.004.000.000.000
Sekolah Tinggi Ilmu Manajemen Sumbar,STIMS,Swasta,Tutup,Kab. Solok,Prov. Sumatera Barat,Tidak Terakreditasi,1,65.05 %,
Akademi Keperawatan As-Syafi iyah Bekasi,Akper As-Syafi iyah Bekasi,Swasta,Alih Bentuk,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,1,10.33 %,
Sekolah Tinggi Ilmu Kesehatan Mutiara Indonesia,STIKes Mutiara Indonesia,Swasta,Alih Bentuk,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,7,78.99 %,
Sekolah Tinggi Ilmu Ekonomi Insan Pembangunan,STIE Insan Pembangunan,Swasta,Alih Bentuk,Kab. Tangerang,Prov. Banten,Baik,3,89.15 %,
Universitas Prof Dr Hazairin SH,UPDHS,Swasta,Aktif,Kota Bengkulu,Prov. Bengkulu,Baik Sekali,23,,Rp1.675.000 - 18.900.000
Universitas Wahidiyah,UW,Swasta,Aktif,Kota Kediri,Prov. Jawa Timur,Baik,15,87.14 %,Rp390.000 - 5.435.000
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri,STIE Swasta Mandiri,Swasta,Aktif,Kota Surakarta,Prov. Jawa Tengah,Baik,1,,Rp2.400.000 - 2.400.000
STIKES Getsempena Lhoksukon,STIKES Getsempena Lhoksukon,Swasta,Alih Bentuk,Kab. Aceh Utara,Prov. Aceh,Tidak Terakreditasi,5,59.06 %,
Politeknik Kesehatan Muhammadiyah Makassar,Poltekkes Muhammadiyah Makassar,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,7,,
Sekolah Tinggi Ilmu Kesehatan Borneo Lestari,STIKes Borneo Lestari,Swasta,Alih Bentuk,Kota Banjarbaru,Prov. Kalimantan Selatan,Tidak Terakreditasi,5,92.44 %,
Sekolah Tinggi Teknologi Pekerjaan Umum,STT Pekerjaan Umum,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik,5,60.64 %,Rp400.000 - 14.825.000
"Sekolah Tinggi Ilmu Ekonomi Swadaya (Kota Medan, Sumatera Utara)",STIE Swadaya,Swasta,Alih Kelola,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,4,31.36 %,
Sekolah Tinggi Pertanian Kutai Timur,STPKT,Swasta,Aktif,Kab. Kutai Timur,Prov. Kalimantan Timur,Tidak Terakreditasi,5,43.94 %,Rp2.400.000 - 7.016.250
Politeknik Gunakarya Indonesia Bekasi,PGIB,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Baik,4,,
Akademi Kebidanan Budi Kemuliaan,Akbid Budi Kemuliaan,Swasta,Alih Bentuk,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,85.52 %,
Institut Ilmu Kesehatan Nahdlatul Ulama Tuban,IIKNUT,Swasta,Aktif,Kab. Tuban,Prov. Jawa Timur,Baik Sekali,9,61.29 %,Rp5.000.000 - 5.000.000
Universitas Asa Indonesia,UAI,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik Sekali,9,31.57 %,Rp2.650.000 - 8.000.000
Universitas Bandung Raya,UBR,Swasta,Alih Bentuk,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,12,,
Sekolah Tinggi Ilmu Kesehatan Nasional,STIKes Nasional,Swasta,Aktif,Kab. Sukoharjo,Prov. Jawa Tengah,Baik Sekali,7,,Rp1.800.000 - 12.170.000
Universitas Imelda Medan,UIM,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik Sekali,15,,Rp2.000.000 - 12.500.000
STMIK Widuri,STMIK Widuri,Swasta,Alih Bentuk,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,3,46.84 %,Rp500.000 - 5.000.000
Politeknik Ubaya,PU,Swasta,Aktif,Kota Surabaya,Prov. Jawa Timur,Baik Sekali,5,,Rp10.029.000 - 10.290.000
Sekolah Tinggi Ilmu Ekonomi YPHB,STIE YPHB,Swasta,Aktif,Kota Banda Aceh,Prov. Aceh,Baik,1,11.96 %,Rp2.500.000 - 2.500.000
Universitas PGRI Banyuwangi,UPB,Swasta,Aktif,Kab. Banyuwangi,Prov. Jawa Timur,Baik Sekali,15,54.27 %,Rp150.000 - 5.250.000
Universitas Hasyim Asy'ari Tebuireng Jombang,UHAATJ,Swasta,Aktif,Kab. Jombang,Prov. Jawa Timur,Baik Sekali,28,56.84 %,Rp250.000 - 29.500.000
Akademi Manajemen Informatika Dan Komputer Global,AMIKG,Swasta,Tutup,Kota Kendari,Prov. Sulawesi Tenggara,Tidak Terakreditasi,3,41.52 %,
"Akademi Kebidanan Reformasi (Kota Makassar, Sulawesi Selatan)",Akbid Reformasi,Swasta,Alih Kelola,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,87.96 %,
Universitas Insan Pembangunan Indonesia,UIPI,Swasta,Aktif,Kab. Tangerang,Prov. Banten,Baik Sekali,9,,Rp4.680.000 - 7.575.000
Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia Makassar,PLPPPIM,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik,5,13.89 %,
Universitas Nusa Megarkencana,UNM,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,B,5,66.55 %,Rp200.000 - 36.000.000
Sekolah Tinggi Manajemen Informatika dan Komputer (STMIK) Time,STMIK STMIK Time,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Terakreditasi,2,58.17 %,
STIKES Piala Sakti Pariaman,STIKES Piala Sakti Pariaman,Swasta,Aktif,Kota Pariaman,Prov. Sumatera Barat,Tidak Terakreditasi,5,73.41 %,Rp3.100.000 - 4.100.000
AKBID Wira Husada Nusantara,AKBID Wira Husada Nusantara,Swasta,Tutup,Kab. Blora,Prov. Jawa Tengah,Tidak Terakreditasi,1,81.49 %,
Universitas Bhayangkara Surabaya,UBS,Swasta,Aktif,Kota Surabaya,Prov. Jawa Timur,Baik Sekali,12,,Rp5.000.000 - 5.000.000
Institut Kesehatan dan Teknologi Jainuddin,IKTJ,Swasta,Aktif,Kota. Kotamobagu,Prov. Sulawesi Utara,Baik,5,22.62 %,Rp5.000.000 - 5.000.000
Universitas Indonesia Mandiri,UIM,Swasta,Aktif,Kab. Lampung Selatan,Prov. Lampung,Baik,13,8.16 %,Rp2.400.000 - 2.400.000
Politeknik Hasnur,PH,Swasta,Aktif,Kab. Barito Kuala,Prov. Kalimantan Selatan,Terakreditasi,8,39.34 %,Rp2.400.000 - 4.000.000
STKIP Nasional,STKIP Nasional,Swasta,Aktif,Kab. Padang Pariaman,Prov. Sumatera Barat,Baik,4,,Rp3.000.000 - 3.000.000
Politeknik Sinar Mas Berau Coal,PSMBC,Swasta,Aktif,Kab. Berau,Prov. Kalimantan Timur,Terakreditasi,3,,Rp2.500.000 - 6.500.000
Akademi Farmasi YPF,Akfar YPF,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik,1,69.28 %,
STMIK Hang Tuah Pekanbaru,STMIK Hang Tuah Pekanbaru,Swasta,Alih Bentuk,Kota Pekanbaru,Prov. Riau,Tidak Terakreditasi,2,45.84 %,
Sekolah Tinggi Filsafat Seminari Pineleng,STF Seminari Pineleng,Swasta,Aktif,Kab. Minahasa,Prov. Sulawesi Utara,B,3,51.89 %,Rp1.000.000 - 2.870.000
Politeknik Indonesia Banjarmasin,PIB,Swasta,Aktif,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik,3,,Rp3.950.000 - 3.950.000
Universitas Katolik Musi Charitas,UKMC,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,B,19,,Rp4.000.000 - 14.000.000
Akademi Teknik Pratama Makale,Atek Pratama Makale,Swasta,Alih Bentuk,Kab. Tana Toraja,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,82.30 %,
Institut Teknologi Keling Kumang,ITKK,Swasta,Aktif,Kab. Sekadau,Prov. Kalimantan Barat,Baik,5,15.77 %,Rp1.200.000 - 4.700.000
Universitas Anwar Medika,UAM,Swasta,Aktif,Kab. Sidoarjo,Prov. Jawa Timur,Baik,10,,Rp1.668.750 - 20.442.500
STIKESMAS Widya Dharma Palembang,STIKESMAS Widya Dharma Palembang,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,1,,
Sekolah Tinggi Manajemen Informatika dan Komputer YMI,STMIK YMI,Swasta,Alih Bentuk,Kota Tegal,Prov. Jawa Tengah,Baik,2,,Rp4.800.000 - 48.000.000
Universitas Bhayangkara Jakarta Raya,UBJR,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Unggul,19,,Rp4.075.000 - 18.000.000
Sekolah Tinggi Ilmu Komunikasi Profesi Indonesia,STIKom Profesi Indonesia,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik,2,,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Nuuwar,STKIP Nuuwar,Swasta,Aktif,Kab. Fak-Fak,Prov. Papua Barat,Baik,2,,Rp150.000 - 1.500.000
Universitas Jayabaya,UJ,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Unggul,23,,Rp250.000 - 26.500.000
Akademi Kebidanan Yaleka Maro Merauke,Akbid Yaleka Maro Merauke,Swasta,Aktif,Kab. Merauke,Prov. Papua,Baik,1,,Rp5.000.000 - 5.000.000
Universitas Putra Bangsa,UPB,Swasta,Aktif,Kab. Kebumen,Prov. Jawa Tengah,Baik Sekali,9,,Rp5.000 - 1.800.000
Universitas Situs Jaya Banten,USJB,Swasta,Aktif,Kota Serang,Prov. Banten,Tidak Terakreditasi,11,,
Akademi Akuntansi Artawiyata Indo-lpi,AAAIL,Swasta,Tutup,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,,
STIKES Mercubaktijaya Padang,STIKES Mercubaktijaya Padang,Swasta,Alih Bentuk,Kota Padang,Prov. Sumatera Barat,B,7,,
Sekolah Tinggi Manajemen Informatika dan Komputer MIC Cikarang,STMIK MIC Cikarang,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Kesehatan Mitra Kencana,STIKes Mitra Kencana,Swasta,Alih Bentuk,Kota Tasikmalaya,Prov. Jawa Barat,Tidak Terakreditasi,3,,
Universitas Alwashliyah,UA,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik Sekali,18,,Rp1.750.000 - 2.500.000
Akademi Kebidanan Mulia Madani Yogyakarta,Akbid Mulia Madani,Swasta,Alih Bentuk,Kab. Bantul,Prov. D.I. Yogyakarta,Tidak Terakreditasi,1,38.87 %,Rp17 - 6.000.000
STKIP PGRI Ponorogo,STKIP PGRI Ponorogo,Swasta,Aktif,Kab. Ponorogo,Prov. Jawa Timur,Terakreditasi,4,,Rp4.385.000 - 4.385.000
STKIP PGRI Bangkalan,STKIP PGRI Bangkalan,Swasta,Aktif,Kab. Bangkalan,Prov. Jawa Timur,Baik Sekali,7,,Rp3.800.000 - 4.000.000
Sekolah Tinggi Ilmu Kesehatan 'Aisyiyah Surakarta,STIKes 'Aisyiyah Surakarta,Swasta,Alih Bentuk,Kota Surakarta,Prov. Jawa Tengah,Tidak Terakreditasi,7,,
Sekolah Tinggi Ilmu Ekonomi Dharma Nasional Jember,STIE Dharma Nasional Jember,Swasta,Aktif,Kab. Jember,Prov. Jawa Timur,Baik,2,,Rp2.400.000 - 2.400.000
Sekolah Tinggi Ilmu Kesehatan Holistik,STIKes Holistik,Swasta,Aktif,Kab. Purwakarta,Prov. Jawa Barat,Baik,2,,Rp7.000.000 - 9.000.000
AKPER PKU Muhammadiyah Surakarta,AKPER PKU Muhammadiyah Surakarta,Swasta,Alih Bentuk,Kota Surakarta,Prov. Jawa Tengah,Tidak Terakreditasi,1,,
STKIP Muhammadiyah Kuningan,STKIP Muhammadiyah Kuningan,Swasta,Alih Bentuk,Kab. Kuningan,Prov. Jawa Barat,Baik Sekali,6,,Rp3.000.000 - 3.000.000
Akademi Kebidanan Mandiri Gresik,Akbid Mandiri Gresik,Swasta,Alih Bentuk,Kab. Gresik,Prov. Jawa Timur,Baik,1,,Rp3.500.000 - 4.500.000
STIE Harapan Duri,STIE Harapan Duri,Swasta,Aktif,Kab. Bengkalis,Prov. Riau,Tidak Terakreditasi,2,,
Akademi Kebidanan Dr Soebandi,Akbid Dr Soebandi,Swasta,Alih Bentuk,Kab. Jember,Prov. Jawa Timur,Tidak Terakreditasi,1,,
STKIP Muhammadiyah Blora,STKIP Muhammadiyah Blora,Swasta,Aktif,Kab. Blora,Prov. Jawa Tengah,Baik,1,,Rp2.850.000 - 2.850.000
STKIP Sinar Cendekia,STKIP Sinar Cendekia,Swasta,Aktif,Kota tangerang Selatan,Prov. Banten,Baik,2,,Rp2.400.000 - 2.400.000
Akademi Pariwisata Tridaya,APT,Swasta,Alih Bentuk,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,,
Akademi Kebidanan Muhammadiyah Palopo,Akbid Muhammadiyah Palopo,Swasta,Alih Bentuk,Kota Palopo,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,34.83 %,
Akademi Pariwisata Sandhy Putra,APSP,Swasta,Tutup,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,1,52.95 %,
Universitas Muhammadiyah A.R. Fachruddin,UMARF,Swasta,Aktif,Kab. Tangerang,Prov. Banten,Tidak Terakreditasi,12,18.43 %,
Universitas Muhammadiyah Sukabumi,UMS,Swasta,Aktif,Kota Sukabumi,Prov. Jawa Barat,Baik Sekali,26,,Rp5.318.375 - 5.517.625
STIKES Karya Putra Bangsa Tulungagung,STIKES Karya Putra Bangsa,Swasta,Aktif,Kab. Tulungagung,Prov. Jawa Timur,Terakreditasi,3,73.41 %,Rp7.550.000 - 8.600.000
Akademi Ketatalaksanaan Pelayaran Niaga dan Kepelabuhan Kendari,AKPNKK,Swasta,Alih Bentuk,Kota Kendari,Prov. Sulawesi Tenggara,Tidak Terakreditasi,1,81.49 %,
Universitas Banten,UB,Swasta,Aktif,Kota Serang,Prov. Banten,Baik,6,58.85 %,Rp250.000 - 2.650.000
Akademi Pertanian PGRI Wonosobo,APPW,Swasta,Tutup,Kab. Wonosobo,Prov. Jawa Tengah,Tidak Terakreditasi,1,22.62 %,
Sekolah Tinggi Manajemen Informatika dan Komputer Nusa Mandiri,STMIK Nusa Mandiri,Swasta,Alih Bentuk,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,4,8.16 %,
Sekolah Tinggi Ilmu Kesehatan Indonesia Jaya,STIKes Indonesia Jaya,Swasta,Aktif,Kota Palu,Prov. Sulawesi Tengah,Terakreditasi,3,39.34 %,Rp2.250.000 - 3.500.000
Akademi Keperawatan Sapta Karya,Akper Sapta Karya,Swasta,Tutup,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,1,,
Akademi Bahasa Asing IEC Semarang,ABAIS,Swasta,Tutup,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,1,32.07 %,
Universitas Teknologi Sulawesi,UTS,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik,10,69.28 %,Rp1.200.000 - 4.000.000
STIKES Medika Nurul Islam,STIKES Medika Nurul Islam,Swasta,Aktif,Kab. Pidie,Prov. Aceh,Baik,6,45.84 %,Rp4.000.000 - 4.000.000
Institut Pariwisata dan Bisnis Internasional,IPBI,Swasta,Aktif,Kota Denpasar,Prov. Bali,Unggul,9,51.89 %,Rp500.000 - 38.500.000
Politeknik Hasan Abdi,PHA,Swasta,Aktif,Kab. Deli Serdang,Prov. Sumatera Utara,Tidak Terakreditasi,3,28.83 %,Rp1.800.000 - 1.800.000
Sekolah Tinggi Ilmu Ekonomi Wibawa Karta Raharja,STIE Wibawa Karta Raharja,Swasta,Aktif,Kab. Purwakarta,Prov. Jawa Barat,Baik,3,64.39 %,
Sekolah Tinggi Teknik Lingkungan,STTL,Swasta,Alih Bentuk,Kab. Bantul,Prov. D.I. Yogyakarta,Tidak Terakreditasi,2,82.30 %,
Institut Teknologi Sapta Mandiri,ITSM,Swasta,Alih Bentuk,Kab. Balangan,Prov. Kalimantan Selatan,Baik,3,15.77 %,Rp2.400.000 - 2.400.000
Universitas Panca Sakti Bekasi,UPSB,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Baik Sekali,10,40.99 %,Rp100.000 - 20.100.000
Sekolah Tinggi Ilmu Ekonomi Kerja Sama,STIE Kerja Sama,Swasta,Tutup,Tidak Diisi,Prov. D.I. Yogyakarta,Tidak Terakreditasi,7,68.97 %,
Akademi Komunitas Assunniyyah,Akom Assunniyyah,Swasta,Tutup,Kab. Jember,Prov. Jawa Timur,Tidak Terakreditasi,1,49.78 %,
Sekolah Tinggi Ilmu Ekonomi Ganesha,STIE Ganesha,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Terakreditasi,4,47.58 %,
STKIP Al Azhar Diniyyah Jambi,STKIP Al Azhar Diniyyah,Swasta,Aktif,Kota Jambi,Prov. Jambi,Terakreditasi,2,53.15 %,Rp2.880.000 - 3.480.000
Universitas Panca Bhakti,UPB,Swasta,Aktif,Kota Pontianak,Prov. Kalimantan Barat,Terakreditasi,13,28.67 %,Rp640.000 - 8.950.000
Akademi Farmasi Toraja,Akfar Toraja,Swasta,Aktif,Kab. Tana Toraja,Prov. Sulawesi Selatan,Baik,1,,Rp4.500.000 - 6.500.000
Universitas Darussalam Ambon,UDA,Swasta,Aktif,Kota Ambon,Prov. Maluku,Baik Sekali,14,53.45 %,Rp3.000.000 - 3.000.000
STKIP Bina Insan Mandiri,STKIP Bina Insan Mandiri,Swasta,Aktif,Kota Surabaya,Prov. Jawa Timur,B,5,41.24 %,Rp500.000 - 500.000
STIKES Rumah Sakit Anwar Medika,STIKES Rumah Sakit Anwar,Swasta,Alih Bentuk,Kab. Sidoarjo,Prov. Jawa Timur,Baik,4,,
Politeknik Madyathika,PM,Swasta,Aktif,Kab. Purbalingga,Prov. Jawa Tengah,Baik,3,,Rp1.250.000 - 3.750.000
STKIP Widyaswara Indonesia,STKIP Widyaswara Indonesia,Swasta,Aktif,Kab. Solok Selatan,Prov. Sumatera Barat,Baik,2,77.61 %,Rp200.000 - 2.500.000
Akademi Bahasa Asing YPKK Tangerang,ABAYT,Swasta,Tutup,Kota tangerang Selatan,Prov. Banten,Tidak Terakreditasi,1,,
STMIK Palangka Raya,STMIK Palangka,Swasta,Aktif,Kota Palangka Raya,Prov. Kalimantan Tengah,Terakreditasi,4,75.89 %,Rp2.400.000 - 4.000.000
STISIP Silas Papare Jayapura,STISIP Silas Papare Jayapura,Swasta,Aktif,Kota Jayapura,Prov. Papua,Baik,2,41.34 %,
Universitas Primakara,UP,Swasta,Aktif,Kota Denpasar,Prov. Bali,Baik Sekali,8,38.87 %,Rp2.370.000 - 30.100.000
STISIP Petta Baringeng Soppeng,STISIP Petta Baringeng Soppeng,Swasta,Aktif,Kab. Soppeng,Prov. Sulawesi Selatan,Baik,3,,
STKIP Tunas Palapa,STKIP Tunas Palapa,Swasta,Alih Bentuk,Kab. Lampung Selatan,Prov. Lampung,Tidak Terakreditasi,4,81.22 %,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Media Nusantara Citra,STKIP Media Nusantara Citra,Swasta,Alih Bentuk,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Tidak Terakreditasi,2,68.59 %,
Sekolah Tinggi Ilmu Kesehatan Mega Rezky,STIKes Mega Rezky,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,14,39.89 %,
Universitas Muhammadiyah Lamongan,UML,Swasta,Aktif,Kab. Lamongan,Prov. Jawa Timur,Baik Sekali,24,59.80 %,
Universitas Bhinneka Nusantara,UBN,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Baik Sekali,6,,Rp600.000 - 22.500.000
Sekolah Tinggi Ilmu Ekonomi Pontianak,STIE Pontianak,Swasta,Alih Bentuk,Kota Pontianak,Prov. Kalimantan Barat,Baik,3,50.00 %,
Sekolah Tinggi Ilmu Ekonomi Graha Kirana,STIE Graha Kirana,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,2,84.37 %,
Universitas Mitra Husada,UMH,Swasta,Aktif,Kab. Karanganyar,Prov. Jawa Tengah,Tidak Terakreditasi,11,43.75 %,
Sekolah Tinggi Ilmu Administrasi Lppn,STIA Lppn,Swasta,Aktif,Kota Padang,Prov. Sumatera Barat,B,4,,
Politeknik Sukabumi,PS,Swasta,Aktif,Kota Sukabumi,Prov. Jawa Barat,Baik,5,29.92 %,Rp1.000.000 - 4.600.000
Sekolah Tinggi Ilmu Sosial Ilmu Politik Kebangsaan,STISIPK,Swasta,Aktif,Kab. Maluku Tengah,Prov. Maluku,Tidak Terakreditasi,3,49.87 %,
"Universitas Tamansiswa (Kota Padang, Sumatera Barat)",UT,Swasta,Aktif,Kota Padang,Prov. Sumatera Barat,Baik Sekali,14,45.60 %,Rp1 - 6.500.000
IKIP Gunung Sitoli,IKIP Gunung Sitoli,Swasta,Alih Bentuk,Kab. Nias,Prov. Sumatera Utara,Tidak Terakreditasi,8,55.68 %,
Akademi Analis Kesehatan An Nasher Cirebon,AAKANC,Swasta,Alih Bentuk,Kab. Cirebon,Prov. Jawa Barat,Tidak Terakreditasi,2,74.13 %,Rp5.785.000 - 6.960.000
STIKES Tanawali Takalar,STIKES Tanawali Takalar,Swasta,Aktif,Kab. Takalar,Prov. Sulawesi Selatan,Baik,4,83.08 %,Rp2.500.000 - 5.000.000
Akademi Kebidanan Nurul Hasanah,Akbid Nurul Hasanah,Swasta,Alih Bentuk,Kab. Aceh Tenggara,Prov. Aceh,Tidak Terakreditasi,1,,
Akademi Bahasa Asing Internasional Bandung,ABAIB,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik,2,45.31 %,Rp1.000.000 - 8.500.000
Akademi Perikanan Bhima Sakti,APBS,Swasta,Alih Bentuk,Kab. Lampung Timur,Prov. Lampung,Tidak Terakreditasi,1,27.08 %,
Akademi Keperawatan Bahrul Ulum Jombang,Akper Bahrul Ulum Jombang,Swasta,Aktif,Kab. Jombang,Prov. Jawa Timur,Baik,1,75.96 %,
Universitas Muhadi Setiabudi,UMS,Swasta,Aktif,Kab. Brebes,Prov. Jawa Tengah,Baik Sekali,11,42.59 %,Rp850.000 - 6.501.000
Sekolah Tinggi Ilmu Ekonomi Ottow & Geissler Serui,STIE Ottow Geissler Serui,Swasta,Aktif,Kab. Yapen Waropen,Prov. Papua,Baik,2,38.36 %,Rp2.500.000 - 2.500.000
STMIK Asia Malang,STMIK Asia Malang,Swasta,Alih Bentuk,Kota Malang,Prov. Jawa Timur,Tidak Terakreditasi,3,44.52 %,
Akademi Keuangan Perbankan Tahuna,AKPT,Swasta,Aktif,Kab. Kep. Sangihe,Prov. Sulawesi Utara,Baik,1,60.79 %,Rp2.250.000 - 2.250.000
Politeknik Tiara Bunda,PTB,Swasta,Aktif,Kota Depok,Prov. Jawa Barat,Baik,5,58.76 %,Rp6.000.000 - 9.000.000
Universitas Methodist Indonesia,UMI,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Unggul,14,,Rp1.710.000 - 30.000.000
Akademi Komunitas Bisnis Internasional,Akom Bisnis Internasional,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,,
Politeknik Muhammadiyah Pekalongan,PMP,Swasta,Alih Bentuk,Kab. Pekalongan,Prov. Jawa Tengah,Tidak Terakreditasi,3,,
Institut Teknologi Bisnis Riau,ITBR,Swasta,Aktif,Kota Pekanbaru,Prov. Riau,Baik,3,,Rp500.000 - 2.000.000
Politeknik Baubau,PB,Swasta,Aktif,Kota Baubau,Prov. Sulawesi Tenggara,Terakreditasi,11,,Rp350.000 - 22.200.000
Sekolah Tinggi Manajemen Transportasi Malahayati,STM Transportasi Malahayati,Swasta,Aktif,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Baik,2,,Rp2.400.000 - 4.000.000
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,STSRDVI,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,B,4,49.69 %,Rp1.200.000 - 4.850.000
AMIK Master Lampung,AMIK Master,Swasta,Tutup,Kota Bandar Lampung,Prov. Lampung,Baik,2,,
Universitas Markandeya,UM,Swasta,Aktif,Kab. Bangli,Prov. Bali,Tidak Terakreditasi,11,,
Politeknik Ganesha Medan,PGM,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,3,,
Akademi Komunitas Kosmetik Ristra,Akom Kosmetik Ristra,Swasta,Tutup,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Tidak Terakreditasi,3,,
Universitas Katolik Widya Karya,UKWK,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Baik,13,56.77 %,Rp750.000 - 8.500.000
Sekolah Tinggi Ilmu Komunikasi ITKP,STIKom ITKP,Swasta,Alih Bentuk,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Tidak Terakreditasi,2,,
Universitas Dharmas Indonesia,UDI,Swasta,Aktif,Kab. Dharmas Raya,Prov. Sumatera Barat,Tidak Terakreditasi,20,,Rp397.500 - 9.900.000
